Parent Table,Parent Column,Relationship,Child Table,Child Column,Description
CaseMaster,CaseMasterID,One to Many,Victim,CaseMasterID,"One FIR can have multiple victims"
CaseMaster,CaseMasterID,One to Many,Accused,CaseMasterID,"One FIR can have multiple accused persons"
CaseMaster,CaseMasterID,One to Many,ArrestSurrender,CaseMasterID,"One FIR can have multiple arrest/surrender events"
CaseMaster,CaseMasterID,One to Many,ComplainantDetails,CaseMasterID,"One FIR can have multiple complainants"
CaseMaster,CaseMasterID,One to Many,ActSectionAssociation,CaseMasterID,"One FIR can invoke multiple act-sections"

CaseMaster,CaseCategoryID,Many to One,CaseCategory,CaseCategoryID,"Many FIRs can share the same category"
CaseMaster,GravityOffenceID,Many to One,GravityOffence,GravityOffenceID,"Many FIRs can have the same gravity level"
CaseMaster,CrimeMajorHeadID,Many to One,CrimeHead,CrimeHeadID,"Many FIRs can share the same major crime head"
CaseMaster,CrimeMinorHeadID,Many to One,CrimeSubHead,CrimeSubHeadID,"Many FIRs can share the same crime sub-head"
CaseMaster,CaseStatusID,Many to One,CaseStatusMaster,CaseStatusID,"Many FIRs can have the same status"
CaseMaster,CourtID,Many to One,Court,CourtID,"Many FIRs can be tried in the same court"
CaseMaster,PolicePersonID,Many to One,Employee,EmployeeID,"Many FIRs can be registered by the same employee"

ArrestSurrender,ArrestSurrenderStateId,Many to One,State,StateID,"Many arrest events can occur in the same state"
ArrestSurrender,ArrestSurrenderDistrictId,Many to One,District,DistrictID,"Many arrest events can occur in the same district"
ArrestSurrender,CourtID,Many to One,Court,CourtID,"Accused may be produced before a court"
ArrestSurrender,IOID,Many to One,Employee,EmployeeID,"Many arrests can be made by the same IO"
ComplainantDetails,OccupationID,Many to One,OccupationMaster,OccupationID,"Many complainants can share the same occupation"
ComplainantDetails,ReligionID,Many to One,ReligionMaster,ReligionID,"Many complainants can share the same religion"
ComplainantDetails,CasteID,Many to One,CasteMaster,caste_master_id,"Many complainants can belong to the same caste"
ActSectionAssociation,ActID,Many to One,Act,ActCode,"Many case-sections can reference the same act"
ActSectionAssociation,SectionID,Many to One,Section,SectionCode,"Many cases can use the same section"
CrimeSubHead,CrimeHeadID,Many to One,CrimeHead,CrimeHeadID,"Multiple sub-heads fall under one major crime head"
CrimeHead,CrimeHeadID,One to Many,CrimeHeadActSection,CrimeHeadID,"One crime head can map to multiple act-sections"
Act,ActCode,One to Many,CrimeHeadActSection,ActCode,"One act can be linked to multiple crime heads"
Act,ActCode,One to Many,Section,ActCode,"One act contains multiple sections"
Court,DistrictID,Many to One,District,DistrictID,"Many courts can be in the same district"
District,StateID,Many to One,State,StateID,"Many districts belong to one state"
Unit,TypeID,Many to One,UnitType,UnitTypeID,"Many units share the same unit type"
Unit,StateID,Many to One,State,StateID,"Many units are located in the same state"
Unit,DistrictID,Many to One,District,DistrictID,"Many units belong to the same district"
Employee,DistrictID,Many to One,District,DistrictID,"Many employees posted in the same district"
Employee,UnitID,Many to One,Unit,UnitID,"Many employees assigned to the same unit"
Employee,RankID,Many to One,Rank,RankID,"Many employees can hold the same rank"
Employee,DesignationID,Many to One,Designation,DesignationID,"Many employees can have the same designation"